Y,DATETIME,TOTAL_DL
2015,2015/1/1,77582045.48
2015,2015/1/2,64616181.98
2015,2015/1/3,69255859.03
2015,2015/1/4,75443414.3
2015,2015/1/5,77484576.85
2015,2015/1/6,78281436.47
2015,2015/1/7,80186607.78
2015,2015/1/8,82032475.98
2015,2015/1/9,82388839.3
2015,2015/1/10,81940628.28
2015,2015/1/11,80011616.63
2015,2015/1/12,76889329.84
2015,2015/1/13,81173116.48
2015,2015/1/14,81698373.71
2015,2015/1/15,81544902.23
2015,2015/1/16,81769938.9
2015,2015/1/17,80318598.85
2015,2015/1/18,80332839.41
2015,2015/1/19,77225289.02
2015,2015/1/20,79916495.16
2015,2015/1/21,79531700.14
2015,2015/1/22,78326751.05
2015,2015/1/23,80119659.42
2015,2015/1/24,80568434.27
2015,2015/1/25,78309431.7
2015,2015/1/26,74722930.82
2015,2015/1/27,77506423.26
2015,2015/1/28,78004757.49
2015,2015/1/29,79335768.84
2015,2015/1/30,78257746.46
2015,2015/1/31,78589853.08
2015,2015/2/1,75323286.15
2015,2015/2/2,71395005.88
2015,2015/2/3,73162003.71
2015,2015/2/4,71215529.06
2015,2015/2/5,68008934.44
2015,2015/2/6,64575362.75
2015,2015/2/7,60364504.11
2015,2015/2/8,54215469.62
2015,2015/2/9,48410494.7
2015,2015/2/10,47006782.4
2015,2015/2/11,41907225.71
2015,2015/2/12,36694889.24
2015,2015/2/13,32882304.16
2015,2015/2/14,29544198.99
2015,2015/2/15,25239683.42
2015,2015/2/16,21406957.53
2015,2015/2/17,19100182.5
2015,2015/2/18,17219010.73
2015,2015/2/19,15190790.37
2015,2015/2/20,14702808.06
2015,2015/2/21,15058010.43
2015,2015/2/22,15527436.64
2015,2015/2/23,16119256.9
2015,2015/2/24,17126489.77
2015,2015/2/25,17955754.36
2015,2015/2/26,20127419.67
2015,2015/2/27,24122383.01
2015,2015/2/28,28788265.85
2015,2015/3/1,32651564.51
2015,2015/3/2,36070316.09
2015,2015/3/3,42988667.08
2015,2015/3/4,49192198.82
2015,2015/3/5,55042309.61
2015,2015/3/6,59565378.07
2015,2015/3/7,63722045.84
2015,2015/3/8,64740898.69
2015,2015/3/9,65381002.47
2015,2015/3/10,70246984.86
2015,2015/3/11,73254615.91
2015,2015/3/12,74908514.36
2015,2015/3/13,75402277.3
